feature,cluster,mean AUC,std AUC,mean accuracy,std accuracy
16674,1.0,0.9836854681571794,0.0032756868918387533,0.9753584541062801,0.004796319000556391
20216,1.0,0.9813595901709771,0.0031519364310688956,0.9785594202898551,0.004952613935399262
29469,1.0,0.969795844259901,0.005329005445848558,0.9487787439613525,0.005948192396739522
29765,1.0,0.9295811008424159,0.0032911622041564867,0.9228840579710145,0.014940268634658912
32512,1.0,0.9718148284391727,0.005543606821454786,0.965871497584541,0.004084039913604711
33275,1.0,0.9759455377648456,0.002014953188966082,0.9703072463768114,0.006394177495668288
38242,1.0,0.9789425530980401,0.004441065664405434,0.9759265700483093,0.0042548890516706395
3696,2.0,0.9749318669244115,0.004025787645132105,0.950631884057971,0.0063111081528018685
20861,3.0,0.9589660200975075,0.004360514066165339,0.9520338164251207,0.007231848560157354
